Source: ACS 5-Year Estimates Public Use Microdata Sample 2022
Weight used: PWGTP
"Universe: selected geographies: California"
"","Recoded detailed Hispanic origin (HISP)","","","","","","","","","","","","","","","","","","","","","","","",""
"Age recode (AGEP_RC1)","Total","Not Spanish/Hispanic/Latino","Mexican","Puerto Rican","Cuban","Dominican","Costa Rican","Guatemalan","Honduran","Nicaraguan","Panamanian","Salvadoran","Other Central American","Argentinean","Bolivian","Chilean","Colombian","Ecuadorian","Paraguayan","Peruvian","Uruguayan","Venezuelan","Other South American","Spaniard","All Other Spanish/Hispanic/Latino"
"75 - 84","31030","30981","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42"
"0 - 1","3461","3394","32","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Other Asian alone","76601","75171","565","83","14","0","0","0","0","9","0","66","0","0","0","0","12","0","0","26","0","0","0","10","645"
"85+","601","601","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","6503","6429","74","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","12605","12348","111","0","14","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","123"
"15 - 24","9506","9222","109","0","0","0","0","0","0","0","0","47","0","0","0","0","0","0","0","0","0","0","0","0","128"
"25 - 34","15685","15584","23","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","66"
"35 - 44","11834","11583","145","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","87"
"45 - 54","7450","7226","40","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","0","0","0","0","126"
"55 - 64","5762","5603","63","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","35"
"65 - 74","3788","3758","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30"
"75 - 84","1513","1513","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","1354","1304","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","50"
" -> Total -> Total California -> Total All combinations of Asian races only","208455","203658","2558","327","175","0","0","64","58","59","27","33","0","0","0","19","0","0","0","53","0","0","0","336","1088"
"85+","1349","1349","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","23172","22555","422","166","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","0","0","0","0","0"
"5 - 14","46378","45226","807","0","74","0","0","8","5","0","0","24","0","0","0","0","0","0","0","26","0","0","0","42","166"
"15 - 24","35004","33881","601","24","28","0","0","0","53","59","13","9","0","0","0","0","0","0","0","0","0","0","0","81","255"
"25 - 34","31480","30869","320","38","0","0","0","39","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","36","164"
"35 - 44","23108","22562","145","68","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","83","231"
"45 - 54","17947","17543","75","0","52","0","0","8","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","77","179"
"55 - 64","13292","13232","35","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19"
"65 - 74","8456","8323","65","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","57"
"75 - 84","3171","3145","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17"
"0 - 1","5098","4973","88","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0"
" -> Total -> Total California -> Total Native Hawaiian alone","22309","17298","3159","1085","32","0","45","47","52","51","0","263","0","0","0","0","0","0","0","29","0","0","0","96","152"
"85+","174","139","33","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","489","345","129","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","2000","1109","566","238","0","0","0","0","0","11","0","68","0","0","0","0","0","0","0","0","0","0","0","0","8"
"15 - 24","3097","2150","548","259","9","0","45","0","0","0","0","57","0","0","0","0","0","0","0","0","0","0","0","0","29"
"25 - 34","3192","2333","628","109","0","0","0","34","27","25","0","0","0","0","0","0","0","0","0","29","0","0","0","0","7"
"35 - 44","3235","2340","651","61","0","0","0","0","0","0","0","111","0","0","0","0","0","0","0","0","0","0","0","47","25"
"45 - 54","2810","2386","232","82","13","0","0","13","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","38","37"
"55 - 64","3491","3146","161","142","10","0","0","0","13","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","10"
"65 - 74","2295","2050","170","44","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","22"
"75 - 84","1346","1198","14","97","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","14"
"0 - 1","180","102","27","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Samoan alone","36107","32992","2573","195","109","0","24","0","0","82","0","37","0","0","0","0","10","0","0","27","0","0","0","10","48"
"85+","55","49","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","1785","1487","298","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","5472","4928","511","17","0","0","12","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","5495","4532","788","24","12","0","12","0","0","79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48"
"25 - 34","6461","5761","604","34","15","0","0","0","0","0","0","0","0","0","0","0","10","0","0","27","0","0","0","10","0"
"35 - 44","5086","4775","238","62","0","0","0","0","0","3","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45 - 54","4797","4675","89","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55 - 64","3505","3431","24","25","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65 - 74","2008","1989","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75 - 84","1162","1162","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","281","203","21","0","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Tongan alone","17250","16858","340","37","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"85+","65","65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","484","484","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","2523","2376","147","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","2573","2497","76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25 - 34","2751","2747","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"35 - 44","2787","2776","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45 - 54","2054","2006","0","37","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55 - 64","1993","1993","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65 - 74","971","971","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75 - 84","826","740","86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","223","203","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Chamorro alone","21975","17951","2488","220","221","0","0","312","0","15","0","324","21","0","0","0","14","0","0","25","0","0","0","100","284"
"85+","491","437","0","0","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12"
"1 - 4","746","573","146","0","0","0","0","0","0","0","0","27","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","2399","1715","495","7","19","0","0","0","0","15","0","30","0","0","0","0","14","0","0","0","0","0","0","42","62"
"15 - 24","2591","1730","526","36","29","0","0","61","0","0","0","184","0","0","0","0","0","0","0","25","0","0","0","0","0"
"25 - 34","3160","2348","437","37","94","0","0","125","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","34","71"
"35 - 44","3644","3037","369","102","0","0","0","45","0","0","0","61","21","0","0","0","0","0","0","0","0","0","0","9","0"
"45 - 54","3076","2703","247","38","0","0","0","64","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","16"
"55 - 64","2705","2537","125","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43"
"65 - 74","2262","2153","43","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66"
"75 - 84","758","710","17","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","14"
"0 - 1","143","8","83","0","35","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Marshallese alone","2116","2116","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85+","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","86","86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","683","683","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","480","480","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25 - 34","275","275","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35 - 44","322","322","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45 - 54","187","187","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55 - 64","52","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65 - 74","12","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75 - 84","19","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Fijian alone","29875","29754","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","74"
"85+","248","248","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","949","949","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5 - 14","3380","3380","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15 - 24","3454","3417","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25 - 34","4203","4193","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35 - 44","5092","5092","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45 - 54","4479","4436","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43"
"55 - 64","4589","4558","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31"
"65 - 74","2281","2281","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75 - 84","879","879","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0 - 1","321","321","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
" -> Total -> Total California -> Total Other Native Hawaiian and Other Pacific Islander","20823","18728","1438","163","51","0","0","0","0","0","0","109","0","0","0","4","0","15","0","0","0","0","0","94","221"
"85+","138","122","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 - 4","657","556","71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30"
"5 - 14","2955","2672","245","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38"
"15 - 24","2824","2497","235","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41"
"25 - 34","3565","3091","311","58","14","0","0","0","0","0","0","50","0","0","0","0","0","0","0","0","0","0","0","21","20"
"35 - 44","3068","2648","283","54","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","47","20"
"45 - 54","3041","2936","90","0","0","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55 - 64","2578","2322","124","0","37","0","0","0","0","0","0","15","0","0","0","4","0","15","0","0","0","0","0","17","44"
"65 - 74","1121","1043","63","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","2"
"75 - 84","585","576","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0"
"0 - 1","291","265","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26"
" -> Total -> Total California -> Total Some Other Race alone","6387328","170857","5074928","48146","17157","5431","7619","256530","52184","47918","3698","402145","7744","5567","4894","6460","30543","14366","877","45642","823","5802","1062","15609","161326"
"85+","54150","1943","40436","733","504","0","147","1657","190","841","133","3047","85","95","113","16","409","394","35","784","0","92","0","468","2028"
"1 - 4","333449","11402","270078","1786","703","176","106","12798","2997","1629","129","18164","674","95","141","260","798","439","65","1187","74","165","25","399","9159"
"5 - 14","984612","26698","807873","5232","1579","428","1079","37161","8051","4042","380","48505","907","810","161","600","2951","948","278","4284","245","650","0","1959","29791"
"15 - 24","1081014","23199","887962","6574","2296","744","807","39878","8678","5429","408","59445","918","817","576","665","3979","2083","98","6039","81","581","42","2139","27576"
"25 - 34","1060959","25651","842319","8317","3034","1539","1218","47214","8974","8482","491","66703","1021","705","785","1231","5946","2432","178","6261","73","1184","132","2042","25027"
"35 - 44","935944","24212","732094","7001","2002","1164","1419","44320","9345","8141","380","62912","1654","993","765","985","5067","2104","193","6639","53","1162","185","2720","20434"
"45 - 54","816495","18672","646798","6296","2185","660","777","33184","6269","6577","541","57476","1189","798","593","953","4548","1880","0","6528","110","913","220","2129","17199"
"55 - 64","583352","16420","444741","5856","2426","236","1010","22370","4449","6403","531","47022","366","694","951","844","3300","2065","30","6896","125","483","288","1808","14038"
"65 - 74","338453","14544","250155","4125","1384","193","592","11887","1993","4079","393","27291","665","422","516","400","2234","1338","0","4686","25","303","57","1192","9979"
"75 - 84","130989","5368","98997","1665","907","111","428","3233","742","1893","312","7657","222","138","293","468","868","605","0","1956","37","174","113","609","4193"
"0 - 1","67911","2748","53475","561","137","180","36","2828","496","402","0","3923","43","0","0","38","443","78","0","382","0","95","0","144","1902"
" -> Total -> Total California -> Total Two or More Races","5329308","1506621","3034261","74371","36442","9535","8368","90912","23913","26577","7834","152162","1467","17991","4023","9681","31522","14404","455","34136","2272","8216","1595","74156","158394"
"85+","47135","11269","25674","764","702","24","153","422","58","413","55","1005","0","520","31","86","517","157","0","698","11","67","22","1744","2743"
"1 - 4","396013","137291","203813","5553","1638","1363","518","8155","1817","2058","796","10720","43","917","369","702","2041","1065","34","1883","376","444","68","3646","10703"
"5 - 14","993853","311715","551430","13973","5137","2110","1810","16770","3978","4675","1649","25640","95","2338","605","1677","3994","2577","60","4990","440","1370","234","10522","26064"
"15 - 24","878584","242821","523881","11552","4683","1247","751","13344","3881","3853","827","21664","211","2411","389","1267","4307","1838","57","4566","128","1169","192","9730","23815"
"25 - 34","799981","235059","447497","11835","6463","1441","1128","14585","4600","3614","1059","23053","133","2394","486","1302","4757","1650","143","4772","124","1216","209","9663","22798"
"35 - 44","691967","185866","399558","9936","4325","1244","1191","13700","3671","2927","981","22391","197","1895","622","1438","4845","1494","29","4663","612","1453","155","8902","19872"
"45 - 54","589959","132848","370111","6694","3768","863","1163","9320","2408","3123","932","18251","234","2870","455","1099","4046","1737","66","4059","363","812","220","8678","15839"
"55 - 64","473739","116651","271833","6775","4925","416","738","7913","1949","2894","640","15924","437","2326","431","975","4165","1717","11","4169","93","972","255","10187","17343"
"65 - 74","260735","73155","139428","4144","2768","349","633","3701","702","1707","392","8100","72","1160","335","777","1367","1042","22","2736","99","334","129","6541","11042"
"75 - 84","113049","29298","59609","1944","1614","94","202","1435","404","939","319","3066","26","944","174","279","915","715","33","1016","26","239","111","3477","6170"
"0 - 1","84293","30648","41427","1201","419","384","81","1567","445","374","184","2348","19","216","126","79","568","412","0","584","0","140","0","1066","2005"
